method,metric,subtype,mode,score,edits,probes,on,off,activation,on_success,success_given_on,base_correct_given_off,total_success,probe_micro,edit_macro,base_reference_correct,base_correct_damage,base_wrong_correction,off_base_preserved,on_output_preserved,on_output_damaged,target_copy_total,target_copy_on,cap_hits,score_definition
BE,Robustness,无关临床细节,RC_FIXED_OLD16,semantic,28,28,28,0,1.0,28,1.0,,28,1,1,1,0,27,,,,,,0,TARGET_ADHERENCE
BE,Robustness,模糊限定词,BASE,exact,27,27,0,27,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Robustness,模糊限定词,BASE,semantic,27,27,0,27,0.0,0,,0.07407407407407407,2,0.07407407407407407,0.07407407407407407,2,0,0,,,,,,0,TARGET_ADHERENCE
BE,Robustness,模糊限定词,FORCED_ON,exact,27,27,27,0,1.0,27,1.0,,27,1,1,0,0,27,,,,,,0,TARGET_ADHERENCE
BE,Robustness,模糊限定词,FORCED_ON,semantic,27,27,27,0,1.0,27,1.0,,27,1,1,2,0,25,,,,,,0,TARGET_ADHERENCE
BE,Robustness,模糊限定词,BE_ROUTE_R0,exact,27,27,27,0,1.0,27,1.0,,27,1,1,0,0,27,,,,,,0,TARGET_ADHERENCE
BE,Robustness,模糊限定词,BE_ROUTE_R0,semantic,27,27,27,0,1.0,27,1.0,,27,1,1,2,0,25,,,,,,0,TARGET_ADHERENCE
BE,Robustness,模糊限定词,RC_FIXED_OLD16,exact,27,27,27,0,1.0,27,1.0,,27,1,1,0,0,27,,,,,,0,TARGET_ADHERENCE
BE,Robustness,模糊限定词,RC_FIXED_OLD16,semantic,27,27,27,0,1.0,27,1.0,,27,1,1,2,0,25,,,,,,0,TARGET_ADHERENCE
BE,Robustness,症状混淆,BASE,exact,29,29,0,29,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Robustness,症状混淆,BASE,semantic,29,29,0,29,0.0,0,,0.034482758620689655,1,0.034482758620689655,0.034482758620689655,1,0,0,,,,,,0,TARGET_ADHERENCE
BE,Robustness,症状混淆,FORCED_ON,exact,29,29,29,0,1.0,29,1.0,,29,1,1,0,0,29,,,,,,0,TARGET_ADHERENCE
BE,Robustness,症状混淆,FORCED_ON,semantic,29,29,29,0,1.0,27,0.9310344827586207,,27,0.9310344827586207,0.9310344827586207,1,0,26,,,,,,0,TARGET_ADHERENCE
BE,Robustness,症状混淆,BE_ROUTE_R0,exact,29,29,29,0,1.0,29,1.0,,29,1,1,0,0,29,,,,,,0,TARGET_ADHERENCE
BE,Robustness,症状混淆,BE_ROUTE_R0,semantic,29,29,29,0,1.0,27,0.9310344827586207,,27,0.9310344827586207,0.9310344827586207,1,0,26,,,,,,0,TARGET_ADHERENCE
BE,Robustness,症状混淆,RC_FIXED_OLD16,exact,29,29,29,0,1.0,29,1.0,,29,1,1,0,0,29,,,,,,0,TARGET_ADHERENCE
BE,Robustness,症状混淆,RC_FIXED_OLD16,semantic,29,29,29,0,1.0,27,0.9310344827586207,,27,0.9310344827586207,0.9310344827586207,1,0,26,,,,,,0,TARGET_ADHERENCE
BE,Robustness,误导性上下文,BASE,exact,20,20,0,20,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,Robustness,误导性上下文,BASE,semantic,20,20,0,20,0.0,0,,0.05,1,0.05,0.05,1,0,0,,,,,,0,TARGET_ADHERENCE
BE,Robustness,误导性上下文,FORCED_ON,exact,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,0,0,19,,,,,,0,TARGET_ADHERENCE
BE,Robustness,误导性上下文,FORCED_ON,semantic,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,1,0,18,,,,,,0,TARGET_ADHERENCE
BE,Robustness,误导性上下文,BE_ROUTE_R0,exact,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,0,0,19,,,,,,0,TARGET_ADHERENCE
BE,Robustness,误导性上下文,BE_ROUTE_R0,semantic,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,1,0,18,,,,,,0,TARGET_ADHERENCE
BE,Robustness,误导性上下文,RC_FIXED_OLD16,exact,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,0,0,19,,,,,,0,TARGET_ADHERENCE
BE,Robustness,误导性上下文,RC_FIXED_OLD16,semantic,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,1,0,18,,,,,,0,TARGET_ADHERENCE
BE,T_Generality,ALL,BASE,exact,200,200,0,200,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,T_Generality,ALL,BASE,semantic,200,200,0,200,0.0,0,,0.02,4,0.02,0.02,4,0,0,,,,,,0,TARGET_ADHERENCE
BE,T_Generality,ALL,FORCED_ON,exact,200,200,200,0,1.0,196,0.98,,196,0.98,0.98,0,0,196,,,,,,0,TARGET_ADHERENCE
BE,T_Generality,ALL,FORCED_ON,semantic,200,200,200,0,1.0,195,0.975,,195,0.975,0.975,4,0,191,,,,,,0,TARGET_ADHERENCE
BE,T_Generality,ALL,BE_ROUTE_R0,exact,200,200,200,0,1.0,196,0.98,,196,0.98,0.98,0,0,196,,,,,,0,TARGET_ADHERENCE
BE,T_Generality,ALL,BE_ROUTE_R0,semantic,200,200,200,0,1.0,195,0.975,,195,0.975,0.975,4,0,191,,,,,,0,TARGET_ADHERENCE
BE,T_Generality,ALL,RC_FIXED_OLD16,exact,200,200,200,0,1.0,196,0.98,,196,0.98,0.98,0,0,196,,,,,,0,TARGET_ADHERENCE
BE,T_Generality,ALL,RC_FIXED_OLD16,semantic,200,200,200,0,1.0,195,0.975,,195,0.975,0.975,4,0,191,,,,,,0,TARGET_ADHERENCE
BE,T_Locality,ALL,BASE,exact,200,200,0,200,0.0,0,,0.0,200,1,1,0,0,0,200,0,0,0,0,2,OUTPUT_PRESERVATION
BE,T_Locality,ALL,BASE,semantic,200,200,0,200,0.0,0,,0.21,42,0.21,0.21,42,0,0,200,0,0,0,0,2,SOURCE_ACCURACY
BE,T_Locality,ALL,FORCED_ON,exact,200,200,200,0,1.0,0,0.0,,0,0,0,0,0,0,0,0,200,164,164,5,OUTPUT_PRESERVATION
BE,T_Locality,ALL,FORCED_ON,semantic,200,200,200,0,1.0,3,0.015,,3,0.015,0.015,42,42,3,0,0,200,164,164,5,SOURCE_ACCURACY
BE,T_Locality,ALL,BE_ROUTE_R0,exact,200,200,0,200,0.0,0,,0.0,200,1,1,0,0,0,200,0,0,0,0,2,OUTPUT_PRESERVATION
BE,T_Locality,ALL,BE_ROUTE_R0,semantic,200,200,0,200,0.0,0,,0.21,42,0.21,0.21,42,0,0,200,0,0,0,0,2,SOURCE_ACCURACY
BE,T_Locality,ALL,RC_FIXED_OLD16,exact,200,200,0,200,0.0,0,,0.0,200,1,1,0,0,0,200,0,0,0,0,2,OUTPUT_PRESERVATION
BE,T_Locality,ALL,RC_FIXED_OLD16,semantic,200,200,0,200,0.0,0,,0.21,42,0.21,0.21,42,0,0,200,0,0,0,0,2,SOURCE_ACCURACY
BE,U_fit_diagnostic,ALL,BASE,exact,200,200,0,200,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,U_fit_diagnostic,ALL,BASE,semantic,200,200,0,200,0.0,0,,1.0,200,1,1,200,0,0,,,,,,0,TARGET_ADHERENCE
BE,U_fit_diagnostic,ALL,FORCED_ON,exact,200,200,200,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,7,TARGET_ADHERENCE
BE,U_fit_diagnostic,ALL,FORCED_ON,semantic,200,200,200,0,1.0,0,0.0,,0,0,0,200,200,0,,,,,,7,TARGET_ADHERENCE
BE,U_fit_diagnostic,ALL,BE_ROUTE_R0,exact,200,200,71,129,0.355,0,0.0,0.0,0,0,0,0,0,0,,,,,,4,TARGET_ADHERENCE
BE,U_fit_diagnostic,ALL,BE_ROUTE_R0,semantic,200,200,71,129,0.355,0,0.0,1.0,129,0.645,0.645,200,71,0,,,,,,4,TARGET_ADHERENCE
BE,U_fit_diagnostic,ALL,RC_FIXED_OLD16,exact,200,200,0,200,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
BE,U_fit_diagnostic,ALL,RC_FIXED_OLD16,semantic,200,200,0,200,0.0,0,,1.0,200,1,1,200,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,I_Generality,ALL,BASE,exact,164,164,0,164,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,I_Generality,ALL,BASE,semantic,164,164,0,164,0.0,0,,0.012195121951219513,2,0.012195121951219513,0.012195121951219513,2,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,I_Generality,ALL,FORCED_ON,exact,164,164,164,0,1.0,161,0.9817073170731707,,161,0.9817073170731707,0.9817073170731707,0,0,161,,,,,,1,TARGET_ADHERENCE
C_NO_H,I_Generality,ALL,FORCED_ON,semantic,164,164,164,0,1.0,160,0.975609756097561,,160,0.975609756097561,0.975609756097561,2,0,158,,,,,,1,TARGET_ADHERENCE
C_NO_H,I_Generality,ALL,BE_ROUTE_R0,exact,164,164,160,4,0.975609756097561,158,0.9875,0.0,158,0.9634146341463414,0.9634146341463414,0,0,158,,,,,,0,TARGET_ADHERENCE
C_NO_H,I_Generality,ALL,BE_ROUTE_R0,semantic,164,164,160,4,0.975609756097561,157,0.98125,0.0,157,0.9573170731707317,0.9573170731707317,2,0,155,,,,,,0,TARGET_ADHERENCE
C_NO_H,I_Generality,ALL,RC_FIXED_OLD16,exact,164,164,2,162,0.012195121951219513,2,1.0,0.0,2,0.012195121951219513,0.012195121951219513,0,0,2,,,,,,0,TARGET_ADHERENCE
C_NO_H,I_Generality,ALL,RC_FIXED_OLD16,semantic,164,164,2,162,0.012195121951219513,2,1.0,0.012345679012345678,4,0.024390243902439025,0.024390243902439025,2,0,2,,,,,,0,TARGET_ADHERENCE
C_NO_H,I_Locality,ALL,BASE,exact,67,67,0,67,0.0,0,,0.0,67,1,1,0,0,0,67,0,0,0,0,0,OUTPUT_PRESERVATION
C_NO_H,I_Locality,ALL,BASE,semantic,67,67,0,67,0.0,0,,0.22388059701492538,15,0.22388059701492538,0.22388059701492538,15,0,0,67,0,0,0,0,0,SOURCE_ACCURACY
C_NO_H,I_Locality,ALL,FORCED_ON,exact,67,67,67,0,1.0,7,0.1044776119402985,,7,0.1044776119402985,0.1044776119402985,0,0,0,0,7,60,28,28,1,OUTPUT_PRESERVATION
C_NO_H,I_Locality,ALL,FORCED_ON,semantic,67,67,67,0,1.0,8,0.11940298507462686,,8,0.11940298507462686,0.11940298507462686,15,7,0,0,7,60,28,28,1,SOURCE_ACCURACY
C_NO_H,I_Locality,ALL,BE_ROUTE_R0,exact,67,67,18,49,0.26865671641791045,4,0.2222222222222222,0.0,53,0.7910447761194029,0.7910447761194029,0,0,0,49,4,14,10,10,0,OUTPUT_PRESERVATION
C_NO_H,I_Locality,ALL,BE_ROUTE_R0,semantic,67,67,18,49,0.26865671641791045,2,0.1111111111111111,0.22448979591836735,13,0.19402985074626866,0.19402985074626866,15,2,0,49,4,14,10,10,0,SOURCE_ACCURACY
C_NO_H,I_Locality,ALL,RC_FIXED_OLD16,exact,67,67,0,67,0.0,0,,0.0,67,1,1,0,0,0,67,0,0,0,0,0,OUTPUT_PRESERVATION
C_NO_H,I_Locality,ALL,RC_FIXED_OLD16,semantic,67,67,0,67,0.0,0,,0.22388059701492538,15,0.22388059701492538,0.22388059701492538,15,0,0,67,0,0,0,0,0,SOURCE_ACCURACY
C_NO_H,Portability,1-hop,BASE,exact,73,73,0,73,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Portability,1-hop,BASE,semantic,73,73,0,73,0.0,0,,0.2876712328767123,21,0.2876712328767123,0.2876712328767123,21,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Portability,1-hop,FORCED_ON,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE
C_NO_H,Portability,1-hop,FORCED_ON,semantic,73,73,73,0,1.0,7,0.0958904109589041,,7,0.0958904109589041,0.0958904109589041,21,18,4,,,,,,1,TARGET_ADHERENCE
C_NO_H,Portability,1-hop,BE_ROUTE_R0,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE
C_NO_H,Portability,1-hop,BE_ROUTE_R0,semantic,73,73,73,0,1.0,7,0.0958904109589041,,7,0.0958904109589041,0.0958904109589041,21,18,4,,,,,,1,TARGET_ADHERENCE
C_NO_H,Portability,1-hop,RC_FIXED_OLD16,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE
C_NO_H,Portability,1-hop,RC_FIXED_OLD16,semantic,73,73,73,0,1.0,7,0.0958904109589041,,7,0.0958904109589041,0.0958904109589041,21,18,4,,,,,,1,TARGET_ADHERENCE
C_NO_H,Portability,2-hop,BASE,exact,24,24,0,24,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Portability,2-hop,BASE,semantic,24,24,0,24,0.0,0,,0.3333333333333333,8,0.3333333333333333,0.3333333333333333,8,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Portability,2-hop,FORCED_ON,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,2,TARGET_ADHERENCE
C_NO_H,Portability,2-hop,FORCED_ON,semantic,24,24,24,0,1.0,1,0.041666666666666664,,1,0.041666666666666664,0.041666666666666664,8,7,0,,,,,,2,TARGET_ADHERENCE
C_NO_H,Portability,2-hop,BE_ROUTE_R0,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,2,TARGET_ADHERENCE
C_NO_H,Portability,2-hop,BE_ROUTE_R0,semantic,24,24,24,0,1.0,1,0.041666666666666664,,1,0.041666666666666664,0.041666666666666664,8,7,0,,,,,,2,TARGET_ADHERENCE
C_NO_H,Portability,2-hop,RC_FIXED_OLD16,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,2,TARGET_ADHERENCE
C_NO_H,Portability,2-hop,RC_FIXED_OLD16,semantic,24,24,24,0,1.0,1,0.041666666666666664,,1,0.041666666666666664,0.041666666666666664,8,7,0,,,,,,2,TARGET_ADHERENCE
C_NO_H,Portability,3-hop,BASE,exact,2,2,0,2,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Portability,3-hop,BASE,semantic,2,2,0,2,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Portability,3-hop,FORCED_ON,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Portability,3-hop,FORCED_ON,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Portability,3-hop,BE_ROUTE_R0,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Portability,3-hop,BE_ROUTE_R0,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Portability,3-hop,RC_FIXED_OLD16,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Portability,3-hop,RC_FIXED_OLD16,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Reliability,ALL,BASE,exact,200,200,0,200,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Reliability,ALL,BASE,semantic,200,200,0,200,0.0,0,,0.015,3,0.015,0.015,3,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Reliability,ALL,FORCED_ON,exact,200,200,200,0,1.0,200,1.0,,200,1,1,0,0,200,,,,,,0,TARGET_ADHERENCE
C_NO_H,Reliability,ALL,FORCED_ON,semantic,200,200,200,0,1.0,198,0.99,,198,0.99,0.99,3,0,195,,,,,,0,TARGET_ADHERENCE
C_NO_H,Reliability,ALL,BE_ROUTE_R0,exact,200,200,200,0,1.0,200,1.0,,200,1,1,0,0,200,,,,,,0,TARGET_ADHERENCE
C_NO_H,Reliability,ALL,BE_ROUTE_R0,semantic,200,200,200,0,1.0,198,0.99,,198,0.99,0.99,3,0,195,,,,,,0,TARGET_ADHERENCE
