method,metric,subtype,mode,score,edits,probes,on,off,activation,on_success,success_given_on,base_correct_given_off,total_success,probe_micro,edit_macro,base_reference_correct,base_correct_damage,base_wrong_correction,off_base_preserved,on_output_preserved,on_output_damaged,target_copy_total,target_copy_on,cap_hits,score_definition,base_success,net_success_delta,paired_delta
BE,Portability,2-hop,FORCED_ON,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,1,TARGET_ADHERENCE,0,0,0.0
BE,Portability,2-hop,FORCED_ON,semantic,24,24,24,0,1.0,0,0.0,,0,0,0,8,8,0,,,,,,1,TARGET_ADHERENCE,8,-8,-0.3333333333333333
BE,Portability,2-hop,BE_ROUTE_R0,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,1,TARGET_ADHERENCE,0,0,0.0
BE,Portability,2-hop,BE_ROUTE_R0,semantic,24,24,24,0,1.0,0,0.0,,0,0,0,8,8,0,,,,,,1,TARGET_ADHERENCE,8,-8,-0.3333333333333333
BE,Portability,2-hop,RC_FIXED_OLD16,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,1,TARGET_ADHERENCE,0,0,0.0
BE,Portability,2-hop,RC_FIXED_OLD16,semantic,24,24,24,0,1.0,0,0.0,,0,0,0,8,8,0,,,,,,1,TARGET_ADHERENCE,8,-8,-0.3333333333333333
BE,Portability,3-hop,BASE,exact,2,2,0,2,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
BE,Portability,3-hop,BASE,semantic,2,2,0,2,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
BE,Portability,3-hop,FORCED_ON,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
BE,Portability,3-hop,FORCED_ON,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
BE,Portability,3-hop,BE_ROUTE_R0,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
BE,Portability,3-hop,BE_ROUTE_R0,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
BE,Portability,3-hop,RC_FIXED_OLD16,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
BE,Portability,3-hop,RC_FIXED_OLD16,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,1-hop,BASE,exact,73,73,0,73,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,1-hop,BASE,semantic,73,73,0,73,0.0,0,,0.2876712328767123,21,0.2876712328767123,0.2876712328767123,21,0,0,,,,,,0,TARGET_ADHERENCE,21,0,0.0
C_NO_H,Portability,1-hop,FORCED_ON,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE,0,1,0.0136986301369863
C_NO_H,Portability,1-hop,FORCED_ON,semantic,73,73,73,0,1.0,7,0.0958904109589041,,7,0.0958904109589041,0.0958904109589041,21,18,4,,,,,,1,TARGET_ADHERENCE,21,-14,-0.1917808219178082
C_NO_H,Portability,1-hop,BE_ROUTE_R0,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE,0,1,0.0136986301369863
C_NO_H,Portability,1-hop,BE_ROUTE_R0,semantic,73,73,73,0,1.0,7,0.0958904109589041,,7,0.0958904109589041,0.0958904109589041,21,18,4,,,,,,1,TARGET_ADHERENCE,21,-14,-0.1917808219178082
C_NO_H,Portability,1-hop,RC_FIXED_OLD16,exact,73,73,73,0,1.0,1,0.0136986301369863,,1,0.0136986301369863,0.0136986301369863,0,0,1,,,,,,1,TARGET_ADHERENCE,0,1,0.0136986301369863
C_NO_H,Portability,1-hop,RC_FIXED_OLD16,semantic,73,73,73,0,1.0,7,0.0958904109589041,,7,0.0958904109589041,0.0958904109589041,21,18,4,,,,,,1,TARGET_ADHERENCE,21,-14,-0.1917808219178082
C_NO_H,Portability,2-hop,BASE,exact,24,24,0,24,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,2-hop,BASE,semantic,24,24,0,24,0.0,0,,0.3333333333333333,8,0.3333333333333333,0.3333333333333333,8,0,0,,,,,,0,TARGET_ADHERENCE,8,0,0.0
C_NO_H,Portability,2-hop,FORCED_ON,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,2,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,2-hop,FORCED_ON,semantic,24,24,24,0,1.0,1,0.041666666666666664,,1,0.041666666666666664,0.041666666666666664,8,7,0,,,,,,2,TARGET_ADHERENCE,8,-7,-0.29166666666666663
C_NO_H,Portability,2-hop,BE_ROUTE_R0,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,2,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,2-hop,BE_ROUTE_R0,semantic,24,24,24,0,1.0,1,0.041666666666666664,,1,0.041666666666666664,0.041666666666666664,8,7,0,,,,,,2,TARGET_ADHERENCE,8,-7,-0.29166666666666663
C_NO_H,Portability,2-hop,RC_FIXED_OLD16,exact,24,24,24,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,2,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,2-hop,RC_FIXED_OLD16,semantic,24,24,24,0,1.0,1,0.041666666666666664,,1,0.041666666666666664,0.041666666666666664,8,7,0,,,,,,2,TARGET_ADHERENCE,8,-7,-0.29166666666666663
C_NO_H,Portability,3-hop,BASE,exact,2,2,0,2,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,3-hop,BASE,semantic,2,2,0,2,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,3-hop,FORCED_ON,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,3-hop,FORCED_ON,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,3-hop,BE_ROUTE_R0,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,3-hop,BE_ROUTE_R0,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,3-hop,RC_FIXED_OLD16,exact,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
C_NO_H,Portability,3-hop,RC_FIXED_OLD16,semantic,2,2,2,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE,0,0,0.0
