metric,subtype,variable,r0_on,rc_old_on,n,minimum,p05,p25,median,p75,p95,maximum,mean
Robustness,模糊限定词,d,27,27,27,0.570098340511322,0.6527608752250671,1.2215917110443115,1.618173599243164,2.814923048019409,4.253896284103393,5.540473461151123,2.1232894504511797
Robustness,模糊限定词,radius,27,27,27,41.09849166870117,44.611898040771486,48.79060173034668,60.04444885253906,66.41080093383789,75.5461326599121,76.89163208007812,58.56217377274125
Robustness,模糊限定词,ratio,27,27,27,0.00781351460816166,0.011210808293948122,0.01902468536180529,0.027820265933997397,0.052068852149144154,0.08173921797211467,0.09227286730131817,0.03732567097321604
Robustness,模糊限定词,margin,27,27,27,0.9077271326986819,0.9182607820278853,0.9479311478508559,0.9721797340660026,0.9809753146381948,0.988789191706052,0.9921864853918383,0.962674329026784
Robustness,症状混淆,d,29,29,29,1.270315408706665,2.0439178466796877,2.5955159664154053,2.9051668643951416,3.306112289428711,4.546896743774413,5.021172046661377,2.9907741382204254
Robustness,症状混淆,radius,29,29,29,20.588275909423828,32.12493743896485,50.7739143371582,58.41241455078125,67.76165771484375,74.11111755371093,82.03276824951172,57.80428919298895
Robustness,症状混淆,ratio,29,29,29,0.022067955742890742,0.028674271456198216,0.04258785256577177,0.054641843420234676,0.06740370563452587,0.10133562872392012,0.13132732982366618,0.05622600589827153
Robustness,症状混淆,margin,29,29,29,0.8686726701763338,0.8986643712760798,0.9325962943654741,0.9453581565797653,0.9574121474342282,0.9713257285438018,0.9779320442571092,0.9437739941017285
Robustness,误导性上下文,d,20,20,20,2.7683897018432617,2.8100208759307863,3.384885787963867,3.722697615623474,4.157573103904724,5.870562028884888,6.320992469787598,3.870907115936279
Robustness,误导性上下文,radius,20,20,20,28.040435791015625,44.619984054565435,52.12341594696045,61.858543395996094,67.1246566772461,79.83613739013673,88.79822540283203,60.04343948364258
Robustness,误导性上下文,ratio,20,20,20,0.031720166538061256,0.03940270553701822,0.05492978679351835,0.0623401293929381,0.07450540997896167,0.12891218436384075,0.13196669538006334,0.06874188267218198
Robustness,误导性上下文,margin,20,20,20,0.8680333046199367,0.8710878156361593,0.9254945900210383,0.9376598706070619,0.9450702132064817,0.9605972944629818,0.9682798334619387,0.931258117327818
T_Generality,ALL,d,200,200,200,1.0342037677764893,1.180854046344757,1.4064061045646667,1.597984492778778,2.013925552368164,2.34796621799469,3.6407809257507324,1.7166409641504288
T_Generality,ALL,radius,200,200,200,20.588275909423828,26.816805553436282,47.612749099731445,59.08402442932129,65.2209587097168,74.86394691467285,88.79822540283203,55.80466604232788
T_Generality,ALL,ratio,200,200,200,0.016042955513037055,0.019508062172759955,0.023978200681947216,0.029664935611098446,0.03604262353663513,0.07308728570708026,0.10778921241704861,0.033795304895588005
T_Generality,ALL,margin,200,200,200,0.8922107875829514,0.9269127142929198,0.9639573764633649,0.9703350643889015,0.9760217993180528,0.98049193782724,0.983957044486963,0.966204695104412
T_Locality,ALL,d,0,0,200,120.68331909179688,124.67083053588867,131.51803588867188,134.67816925048828,140.17205047607422,149.3797119140625,157.88980102539062,135.92089763641357
T_Locality,ALL,radius,0,0,200,20.588275909423828,26.816805553436282,47.612749099731445,59.08402442932129,65.2209587097168,74.86394691467285,88.79822540283203,55.80466604232788
T_Locality,ALL,ratio,0,0,200,1.4497467600415535,1.7359343046687081,2.0186908927033964,2.29945843874718,2.9118118349317768,5.5154448380827015,7.285519074805641,2.7003002268054916
T_Locality,ALL,margin,0,0,200,-6.285519074805641,-4.515444838082709,-1.911811834931777,-1.29945843874718,-1.0186908927033966,-0.7359343046687082,-0.44974676004155356,-1.7003002268054916
U_fit_diagnostic,ALL,d,71,0,200,27.815950393676758,32.482164001464845,59.14650917053223,64.6692123413086,69.44219779968262,73.26769905090332,78.7069320678711,61.8114600276947
U_fit_diagnostic,ALL,radius,71,0,200,20.588275909423828,26.816805553436282,47.612749099731445,59.08402442932129,65.2209587097168,74.86394691467285,88.79822540283203,55.80466604232788
U_fit_diagnostic,ALL,ratio,71,0,200,0.40202754124191087,0.5436618421519528,0.9361023045514146,1.1046907378798705,1.3553152633389127,2.637530387784611,3.4222208140567525,1.2307056172709594
U_fit_diagnostic,ALL,margin,71,0,200,-2.4222208140567525,-1.6375303877846124,-0.35531526333891267,-0.10469073787987049,0.06389769544858541,0.4563381578480471,0.5979724587580891,-0.2307056172709595
