position,step,reg_gradient,preclip_total,reg_to_total,added_increment,changed_elements,native_gradient,fit_gradient,H_gradient,U_gradient,x_component_gradient,y_component_gradient,scale_relative,input_centered_to_ridge,patch_centered_to_ridge,final_centered_to_ridge,input_offdiag_mean,patch_offdiag_mean,final_offdiag_mean
4,320,4.280321484897628e-05,0.0014154373202472925,0.03024027573435614,4.2803215159395315e-05,73726,0.0018394221551716328,0.00102849374525249,0.002593348268419504,0.0006803207797929645,0.0,2.237829370254654e-06,8.083292541495288e-05,0.16660588320568898,0.018275149946261674,0.40780949948011086,0.999998062324973,0.9999996612276041,0.9999927108808969
5,1,1.6370234311143456e-05,2.5137171745300293,6.512361246131071e-06,1.6370219261624615e-05,69086,0.002687267493456602,0.003225646447390318,2.292635679244995,0.6941677927970886,1.5718812209685773e-05,2.870154564953435e-06,0.00024239911911883895,0.21202567424997998,0.015421272653178915,0.4518474623163278,0.999997534084458,0.9999997066720255,0.9999922018486865
5,80,1.3199445721393867e-05,0.024562204256653786,0.0005373884844972006,1.3199449261883732e-05,73713,0.007250146474689245,0.004583798348903656,0.020463496446609497,0.0152090759947896,1.6274435437024945e-05,3.0053273870356654e-06,0.0002725390657385615,0.21202567424997998,0.015183704343388187,0.45200741512257664,0.999997534084458,0.999999712145392,0.9999922030608789
5,160,1.4274461050144578e-05,0.003932357300072908,0.003630001030140349,1.4274461204884512e-05,73719,0.004079094156622887,0.0027591208927333355,0.0062395124696195126,0.0017201494192704558,1.6535909213521803e-05,3.0529690659612263e-06,0.00020789906330133978,0.21202567424997998,0.015291397613535838,0.45144187602909036,0.999997534084458,0.999999709733576,0.999992214039714
5,320,1.497483633325268e-05,0.002038812730461359,0.007344880728630752,1.497483745333666e-05,73724,0.001894366811029613,0.0011463945265859365,0.002540379064157605,0.00107506662607193,1.6976649455513784e-05,3.134851138570291e-06,0.0001944131713089996,0.21202567424997998,0.01534947237440668,0.45066212754305335,0.999997534084458,0.9999997082283599,0.9999922281824539
6,1,2.3728694959642333e-06,7.144310474395752,3.3213415128979604e-07,2.3864145666817207e-06,65637,0.0014528800966218114,0.0013103821547701955,6.935151100158691,0.6459248065948486,4.965143607414349e-06,2.3838710464858407e-06,0.0008665423092632922,0.4297726463440576,0.015883763715031224,0.612011737093939,0.9999950016721852,0.9999997140421707,0.999990412854312
6,80,6.344764554532623e-06,0.06688167154788971,9.486552006986759e-05,6.344743015885864e-06,73688,0.1753951907157898,0.03742913529276848,0.20730599761009216,0.005633161403238773,4.873447358630084e-06,2.0634257418298734e-06,0.0004100397374774206,0.4297726463440576,0.017000120570467413,0.6132839238591715,0.9999950016721852,0.9999996879316111,0.9999903835311106
6,160,5.960444356413998e-06,0.011799625121057034,0.0005051384510324214,5.9604437000483e-06,73719,0.039712000638246536,0.015647392719984055,0.036572445183992386,0.0013736046385020018,5.41808523055907e-06,2.228626318807471e-06,0.0006534755171089308,0.4297726463440576,0.016699349120366833,0.61268607912215,0.9999950016721852,0.9999996924050221,0.9999903947865705
6,320,5.379508074019742e-06,0.004796563647687435,0.0011215337623244844,5.379508850817012e-06,73719,0.014810758642852306,0.005826239008456469,0.013840340077877045,0.0005173750105313957,6.011159583045204e-06,2.483548752354075e-06,0.00038225554485385454,0.4297726463440576,0.016413515408003003,0.6123089072843693,0.9999950016721852,0.9999996967575208,0.9999904024944762
7,1,1.7193322078018135e-05,1.8975106477737427,9.060988457793492e-06,1.7193128147530476e-05,70359,0.0017675700364634395,0.001029830309562385,1.6056995391845703,0.588995635509491,0.0,1.4444422755786002e-06,0.0003190057623356755,0.19066781725170137,0.015536763749393,0.4198126907664599,0.9999977824809263,0.999999703381999,0.9999925090599643
7,80,2.2871784996520605e-05,0.008771256543695927,0.002607583632126118,2.287178369582985e-05,73714,0.004582072142511606,0.004752115346491337,0.007418561726808548,0.0053237732499837875,0.0,1.4739689347137277e-06,0.0001635277672628374,0.19066781725170137,0.01588149850220999,0.42029295674441264,0.9999977824809263,0.9999996936610558,0.9999924935264627
7,160,2.1103086894341814e-05,0.0031005805358290672,0.006806172795862901,2.11030873611311e-05,73720,0.002247639698907733,0.0021544566843658686,0.004093780182301998,0.0013828325318172574,0.0,1.597296330857823e-06,0.00016094678653896655,0.19066781725170137,0.015691170539810288,0.4200837980472336,0.9999977824809263,0.9999996978526767,0.9999924991744653
7,320,2.173669981040526e-05,0.0015433679800480604,0.01408393856255096,2.1736700670805965e-05,73728,0.0009650564170442522,0.0008073062635958195,0.001600446063093841,0.0005316096358001232,0.0,1.7890266540767535e-06,0.00017215382546874723,0.19066781725170137,0.015732889640681775,0.4200034333266244,0.9999977824809263,0.9999996966519258,0.9999925013022726
8,1,2.6902115004720856e-06,5.731866359710693,4.693430257518896e-07,2.691444248438303e-06,63372,0.0007733909878879786,0.0009712915634736419,5.6467509269714355,0.4015929698944092,3.130309358548267e-06,3.1166625591155704e-06,0.0007643719458897228,0.23926554234356168,0.014323101200718762,0.45126065717810987,0.9999972172914342,0.9999997324453042,0.9999922663278316
