subset,stratum,method,mode,metric,subtype,score,edits,probes,edit_macro,probe_micro,ci_low,ci_high,activation,cap_hits,status,definition
COMMON_NO_H_BE,ALL_REQUESTS,BE,BE_ROUTE_R0,T_Generality,ALL,literal,200,200,0.98,0.98,0.96,0.995,200,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,BE_ROUTE_R0,T_Generality,ALL,target_or_source_semantic,200,200,0.975,0.975,0.95,0.995,200,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,BE_ROUTE_R0,T_Locality,ALL,literal,200,200,1.0,1.0,1.0,1.0,0,2,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,BE_ROUTE_R0,T_Locality,ALL,target_or_source_semantic,200,200,0.21,0.21,0.155,0.265,0,2,AVAILABLE,SOURCE_REFERENCE_ACCURACY_NOT_LOCALITY
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,I_Generality,ALL,literal,164,164,0.9939024390243902,0.9939024390243902,0.975609756097561,1.0,164,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,I_Generality,ALL,target_or_source_semantic,164,164,0.9817073170731707,0.9817073170731707,0.9573170731707317,1.0,164,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,I_Locality,ALL,literal,67,67,0.0,0.0,0.0,0.0,67,2,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,I_Locality,ALL,target_or_source_semantic,67,67,0.0,0.0,0.0,0.0,67,2,AVAILABLE,SOURCE_REFERENCE_ACCURACY_NOT_LOCALITY
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Portability,1-hop,literal,73,73,0.0136986301369863,0.0136986301369863,0.0,0.0410958904109589,73,1,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Portability,1-hop,target_or_source_semantic,73,73,0.1095890410958904,0.1095890410958904,0.0410958904109589,0.1917808219178082,73,1,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Portability,2-hop,literal,24,24,0.0,0.0,0.0,0.0,24,1,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
