cohort,edit,endpoint_selector,fit_positive_ce,method,native_ce,step,update_norm_from_a2,H_raw_kl,H_normalized_kl,U_raw_kl,U_normalized_kl
SLAKE_STAGE2_BANK16,102,False,0.01913708308711648,W1,0.010314353741705418,80,8.457226967391462,0.06889528781175613,0.42613337710658383,0.020486956753302366,0.33553311491805454
SLAKE_STAGE2_BANK16,102,False,0.017277668230235577,W1,0.008888975717127323,160,10.880872030949256,0.06606698036193848,0.40863963779048434,0.010899719715650593,0.17851440562720255
SLAKE_STAGE2_BANK16,102,False,0.012142503401264548,W1,0.007289806380867958,320,10.7009473432639,0.06501055508852005,0.4021054017966879,0.005557973752729595,0.09102788024314751
SLAKE_STAGE2_BANK16,103,False,0.00726232142187655,W0,0.007375893648713827,0,0.0,0.16757816076278687,1.0,0.10662448651523196,1.0
SLAKE_STAGE2_BANK16,103,False,0.0006172849098220468,W0,0.0006096627912484109,80,1.094346413893273,0.3732697665691376,2.2274368263148254,0.1673588075625178,1.5696095055858448
SLAKE_STAGE2_BANK16,103,False,0.00025096566605498083,W0,0.00025022574118338525,160,1.5678887447930587,0.43618106842041016,2.602851507827686,0.18369789853126609,1.722849080309744
SLAKE_STAGE2_BANK16,103,False,0.00013155697888578288,W0,0.0001335048145847395,320,9.83452546715519,0.49284958839416504,2.9410132331730985,0.20371623379677267,1.9105952155527668
SLAKE_STAGE2_BANK16,103,False,0.00726232142187655,W01,0.007375893648713827,0,0.0,0.16757816076278687,1.0,0.10662448651523196,1.0
SLAKE_STAGE2_BANK16,103,False,0.003205765562597662,W01,0.002191773382946849,80,5.915418157305872,0.15137211978435516,0.9032926432378503,0.08407493185950443,0.7885142954240049
SLAKE_STAGE2_BANK16,103,False,0.0032529071904718876,W01,0.0019170865416526794,160,9.29829076757923,0.14934518933296204,0.8911972100252713,0.05472029980904024,0.5132057522380012
SLAKE_STAGE2_BANK16,103,False,0.002188634010963142,W01,0.0013516335748136044,320,8.963549484788514,0.15005925297737122,0.8954582882060967,0.027207969608882974,0.25517562145536005
SLAKE_STAGE2_BANK16,103,False,0.00726232142187655,W1,0.007375893648713827,0,0.0,0.16757816076278687,1.0,0.10662448651523196,1.0
SLAKE_STAGE2_BANK16,103,False,0.02111523551866412,W1,0.01492240373045206,80,5.82382348459605,0.08558961749076843,0.5107444615764922,0.04547070180082561,0.4264564668672973
SLAKE_STAGE2_BANK16,103,False,0.02129454491659999,W1,0.014020852744579315,160,10.675870583968635,0.08554080128669739,0.5104531574838298,0.02570090686536527,0.24104131898158065
SLAKE_STAGE2_BANK16,103,False,0.015860358718782663,W1,0.011545148678123951,320,11.997299318685787,0.08541206270456314,0.5096849274140626,0.015821183008873568,0.14838226683148822
SLAKE_STAGE2_BANK16,104,False,0.0022528848494403064,W0,0.0020190358627587557,0,0.0,0.3922816514968872,1.0,0.14823450620930928,1.0
SLAKE_STAGE2_BANK16,104,False,0.00016061674250522628,W0,0.0001450626295991242,80,0.9237794352910954,0.5843304395675659,1.4895686233038168,0.21682236873759672,1.4626983573678882
SLAKE_STAGE2_BANK16,104,False,0.00010915823804680258,W0,0.00010209614265477285,160,9.5729351067413,0.6441708207130432,1.642113053860626,0.23880692184544527,1.611007638857355
SLAKE_STAGE2_BANK16,104,False,7.913603803899605e-05,W0,7.602239202242345e-05,320,9.513790716154588,0.6912928819656372,1.7622360855466181,0.27725176828411907,1.8703591719234085
SLAKE_STAGE2_BANK16,104,False,0.0022528848494403064,W01,0.0020190358627587557,0,0.0,0.3922816514968872,1.0,0.14823450620930928,1.0
SLAKE_STAGE2_BANK16,104,False,0.0016783086466602981,W01,0.0009337513474747539,80,9.089104883424334,0.08586553980906804,0.21888747404172024,0.040071943416618384,0.27032803927606586
SLAKE_STAGE2_BANK16,104,False,0.0008822210656944662,W01,0.0004046072135679424,160,9.026954888298615,0.03367560791472594,0.08584548317828512,0.02342644317720372,0.1580363693735738
SLAKE_STAGE2_BANK16,104,False,0.00025838012152235024,W01,0.00012006386532448232,320,9.012656627484791,0.01061756939937671,0.0270661892006972,0.008245014496004352,0.055621425178576656
SLAKE_STAGE2_BANK16,104,False,0.0022528848494403064,W1,0.0020190358627587557,0,0.0,0.3922816514968872,1.0,0.14823450620930928,1.0
SLAKE_STAGE2_BANK16,104,False,0.010541427065618336,W1,0.004382074344903231,80,1.8322880017966716,0.044996911038955055,0.11470562252211816,0.02773630663824196,0.18711099964186403
SLAKE_STAGE2_BANK16,104,False,0.0062400768510997295,W1,0.0023637227714061737,160,8.721772621664691,0.02034362529714902,0.05185974215087766,0.017563286076228205,0.11848311520280298
SLAKE_STAGE2_BANK16,104,False,0.0020462910761125386,W1,0.0008433618349954486,320,8.847766199649808,0.008296703143666187,0.021149862890622664,0.007455728921251228,0.05029685133314122
SLAKE_STAGE2_BANK16,105,False,0.0027145908679813147,W0,0.0025448394007980824,0,0.0,0.2729709893465042,1.0,0.05656212693653428,1.0
SLAKE_STAGE2_BANK16,105,False,0.0001534105758764781,W0,0.00012512700050137937,80,0.9710747190574417,0.4777543346087138,1.7502018648665316,0.08001650936113527,1.4146658496579887
SLAKE_STAGE2_BANK16,105,False,0.00010345814371248707,W0,8.230912499129772e-05,160,1.1736230561005943,0.5085622469584147,1.863063354006661,0.0756823020772292,1.3380384751469614
SLAKE_STAGE2_BANK16,105,False,6.87133870087564e-05,W0,5.5728101870045066e-05,320,1.6064273936133213,0.526749054590861,1.9296887770085183,0.06339607910754588,1.1208220507457165
SLAKE_STAGE2_BANK16,105,False,0.0027145908679813147,W01,0.0025448394007980824,0,0.0,0.2729709893465042,1.0,0.05656212693653428,1.0
SLAKE_STAGE2_BANK16,105,False,0.0017203025927301496,W01,0.0007605105638504028,80,1.2201751001853265,0.06483360628286998,0.23751097667221854,0.013495883483511325,0.2386028286852513
SLAKE_STAGE2_BANK16,105,False,0.0009811333293328062,W01,0.0003256163327023387,160,8.839300872557425,0.028069989134867985,0.102831400516472,0.007458855523369634,0.13187013868376746
SLAKE_STAGE2_BANK16,105,False,0.00034872288233600557,W01,0.00014053353515919298,320,8.42150966879449,0.010770447552204132,0.03945638171290184,0.0037028978023534785,0.06546602829324871
SLAKE_STAGE2_BANK16,105,False,0.0027145908679813147,W1,0.0025448394007980824,0,0.0,0.2729709893465042,1.0,0.05656212693653428,1.0
SLAKE_STAGE2_BANK16,105,False,0.009784727357327938,W1,0.0030045844614505768,80,1.220865064560601,0.03344229981303215,0.12251228562087646,0.010029598613842748,0.1773200400525336
SLAKE_STAGE2_BANK16,105,False,0.006316801009234041,W1,0.001740858075208962,160,9.045532628927829,0.01680675335228443,0.06156974187081198,0.005707532283850014,0.10090731365625924
SLAKE_STAGE2_BANK16,105,False,0.0024819853133521974,W1,0.0008185802726075053,320,8.627746330843104,0.007809126594414313,0.02860789937095314,0.0028055209326199614,0.04960069722568788
SLAKE_STAGE2_BANK16,106,False,0.0009254785109078512,W0,0.00092010956723243,0,0.0,0.3943132658799489,1.0,0.07776580847656497,1.0
