cohort,edit,method,new_training,parameters,training_seconds,elapsed_seconds,load_seconds,generation_seconds,route_seconds,peak_vram_bytes,resident_vram_bytes,storage_bytes,disk_bytes,forward_count,backward_count,teacher_forward_count,fit_samples,peak_resident_vram_bytes,feature_seconds,request_seconds,replay_seconds,generated,derived,optimizer_steps
SLAKE_STAGE2_BANK16,108,W1,False,1476,188.81359327002428,316.72588417702354,,,,,,,,1344,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,108,BE,False,58720256,5.463602310046554,95.66679745307192,1.404826898011379,,,16506867200,,234899254,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,109,W0,False,1476,80.1633421779843,303.81201020395383,,,,,,,,704,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,109,W01,True,1476,188.12261611095164,307.80727323901374,,,,,,,,1344,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,109,W1,False,1476,186.82861720700748,315.6617531890515,,,,,,,,1344,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,109,BE,False,58720256,5.028144185082056,94.90752179396804,1.266998669016175,,,16506818048,,234899254,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,110,W0,False,1476,79.47305159003008,296.0007119929651,,,,,,,,700,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,110,W01,True,1476,200.75156397302635,320.81059890799224,,,,,,,,1340,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,110,W1,False,1476,183.58589976700023,307.17300423095,,,,,,,,1340,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,110,BE,False,58720256,5.526880949968472,91.35197181301191,1.4431953220628202,,,16506826240,,234899254,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,111,W0,False,1476,79.5959963540081,302.53698243701365,,,,,,,,700,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,111,W01,True,1476,188.14560206898022,302.8621565250214,,,,,,,,1340,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,111,W1,False,1476,187.71282267791685,302.01994131098036,,,,,,,,1340,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,111,BE,False,58720256,5.50480151292868,91.10845680604689,1.365463098976761,,,16506826240,,234899254,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,112,W0,False,1476,80.22355442808475,289.73321178602055,,,,,,,,704,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,112,W01,True,1476,184.85200070799328,305.29705752793234,,,,,,,,1344,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,112,W1,False,1476,184.0341231559869,300.8914103390416,,,,,,,,1344,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,112,BE,False,58720256,4.301710198051296,99.37939868599642,0.22467594197951257,,,16506867200,,234899254,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,113,W0,False,1476,79.87283570202999,305.00165199593175,,,,,,,,700,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,113,W01,True,1476,179.7318827130366,296.59677267004736,,,,,,,,1340,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,113,W1,False,1476,180.96337685198523,297.38183921098243,,,,,,,,1340,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,113,BE,False,58720256,5.448372625978664,96.13353033200838,1.4950978449778631,,,16506826240,,234899254,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,114,W0,False,1476,81.76866206491832,329.5977263059467,,,,,,,,700,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,114,W01,True,1476,184.1245091179153,308.5688731899718,,,,,,,,1340,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,114,W1,False,1476,183.77980904700235,306.0584232440451,,,,,,,,1340,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,114,BE,False,58720256,5.6425039999885485,102.36555084900465,0.21606858004815876,,,16506842624,,234899254,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,115,W0,False,1476,81.14639397489373,297.4059432860231,,,,,,,,696,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,115,W01,True,1476,213.3839028920047,342.42496316693723,,,,,,,,1336,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,115,W1,False,1476,193.76046166406013,316.2240275570657,,,,,,,,1336,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,115,BE,False,58720256,4.385973471915349,90.013484066003,0.21569410199299455,,,16506875392,,234899254,,,,,,,,,,,,
SLAKE_STAGE2_BANK16,116,W0,False,1476,79.8662653840147,310.22614402195904,,,,,,,,696,640,0,,,,,,,,
SLAKE_STAGE2_BANK16,116,W01,True,1476,191.78930343897082,312.3320569510106,,,,,,,,1336,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,116,W1,False,1476,193.66242627997417,310.84527775400784,,,,,,,,1336,1280,0,,,,,,,,
SLAKE_STAGE2_BANK16,116,BE,False,58720256,4.407107834937051,96.4234491980169,0.2192397559992969,,,16506875392,,234899254,,,,,,,,,,,,
