QA,expert,correct,scope,reused
H06,E08,False,OUT_OF_SCOPE,False
H06,E09,False,OUT_OF_SCOPE,False
H06,E10,False,OUT_OF_SCOPE,False
H06,E11,False,OUT_OF_SCOPE,False
H06,E12,True,UNKNOWN,True
H06,E13,True,OUT_OF_SCOPE,False
H06,E14,False,OUT_OF_SCOPE,False
H06,E15,False,OUT_OF_SCOPE,False
H06,E16,False,OUT_OF_SCOPE,True
H01,E01,True,UNKNOWN,False
H01,E02,False,UNKNOWN,False
H01,E03,True,UNKNOWN,False
H01,E04,True,UNKNOWN,False
H01,E05,True,UNKNOWN,False
H01,E06,False,UNKNOWN,False
H01,E07,True,UNKNOWN,False
H01,E08,True,UNKNOWN,True
H01,E09,True,UNKNOWN,True
H01,E10,True,UNKNOWN,True
H01,E11,True,UNKNOWN,True
H01,E12,True,UNKNOWN,False
H01,E13,True,UNKNOWN,False
H01,E14,True,UNKNOWN,False
H01,E15,True,UNKNOWN,False
H01,E16,True,UNKNOWN,False
H03,E01,True,OUT_OF_SCOPE,False
H03,E02,False,UNKNOWN,False
H03,E03,False,OUT_OF_SCOPE,False
H03,E04,True,OUT_OF_SCOPE,False
H03,E05,True,OUT_OF_SCOPE,False
H03,E06,True,UNKNOWN,False
H03,E07,False,OUT_OF_SCOPE,False
H03,E08,True,OUT_OF_SCOPE,False
H03,E09,True,OUT_OF_SCOPE,False
H03,E10,True,OUT_OF_SCOPE,False
H03,E11,True,OUT_OF_SCOPE,False
H03,E12,False,OUT_OF_SCOPE,False
H03,E13,False,OUT_OF_SCOPE,True
H03,E14,True,OUT_OF_SCOPE,False
H03,E15,False,OUT_OF_SCOPE,False
H03,E16,False,OUT_OF_SCOPE,False
H05,E01,True,UNKNOWN,False
H05,E02,True,OUT_OF_SCOPE,False
H05,E03,True,OUT_OF_SCOPE,False
H05,E04,True,OUT_OF_SCOPE,False
H05,E05,True,UNKNOWN,False
H05,E06,False,OUT_OF_SCOPE,False
H05,E07,True,OUT_OF_SCOPE,False
H05,E08,False,OUT_OF_SCOPE,False
H05,E09,False,OUT_OF_SCOPE,False
H05,E10,False,OUT_OF_SCOPE,False
H05,E11,False,OUT_OF_SCOPE,False
H05,E12,True,OUT_OF_SCOPE,False
H05,E13,True,OUT_OF_SCOPE,True
H05,E14,True,UNKNOWN,False
H05,E15,True,OUT_OF_SCOPE,True
H05,E16,True,OUT_OF_SCOPE,True
