arm,N,panel,metric,numerator,denominator,scored,value,coverage,unit,Wilson95,source_macro,source_count,leave_one_source_out
NO_H_HSIC,32,new_U_eval,fixed_panel_Retention,0,0,0,,,QA,,,0,
NO_H_HSIC,32,new_U_eval,Retention,0,0,0,,,QA,,,0,
NO_H_HSIC,32,new_U_eval,Fix,0,0,0,,,QA,,,0,
NO_H_HSIC,32,positive_positive_image,accuracy,0,0,0,,,QA,,,0,
NO_H_HSIC,32,old_anchors,PairCorrect,5.5,11,11,0.5,1.0,edit_macro_not_independent_H,,0.5,11,"[0.45, 0.55]"
NO_H_HSIC,32,activation_diagnostic,accuracy,53,58,58,0.9137931034482759,1.0,QA,"[0.8135637093712647, 0.962614616873809]",0.9540816326530612,28,"[0.9523809523809523, 0.9708994708994709]"
NO_H_HSIC,45,native,accuracy,45,45,45,1.0,1.0,QA,"[0.9213484012671117, 1]",1,30,"[1, 1]"
NO_H_HSIC,45,native,Fix,45,45,45,1.0,1.0,QA,"[0.9213484012671117, 1]",1,30,"[1, 1]"
NO_H_HSIC,45,insertion,accuracy,45,45,45,1.0,1.0,QA,"[0.9213484012671117, 1]",1,30,"[1, 1]"
NO_H_HSIC,45,old_H_eval,accuracy,2,6,6,0.3333333333333333,1.0,QA,"[0.09677141110578041, 0.700006684861608]",0.3333333333333333,2,"[0.3333333333333333, 0.3333333333333333]"
NO_H_HSIC,45,old_H_eval,Retention,1,4,4,0.25,1.0,QA,"[0.04558726080970055, 0.6993581574175981]",0.25,2,"[0, 0.5]"
NO_H_HSIC,45,old_H_eval,Fix,1,2,2,0.5,1.0,QA,"[0.09453120573423074, 0.9054687942657693]",0.5,2,"[0, 1]"
NO_H_HSIC,45,old_U_eval,accuracy,8,9,9,0.8888888888888888,1.0,QA,"[0.5650002944233439, 0.9801091123614551]",0.875,4,"[0.8333333333333334, 1]"
NO_H_HSIC,45,old_U_eval,fixed_panel_Retention,7,8,8,0.875,1.0,QA,"[0.5291118177871464, 0.9775825085499433]",0.875,4,"[0.8333333333333334, 1]"
NO_H_HSIC,45,old_U_eval,Retention,6,7,7,0.8571428571428571,1.0,QA,"[0.4868721707256811, 0.9743203756552565]",0.875,4,"[0.8333333333333334, 1]"
NO_H_HSIC,45,old_U_eval,Fix,0,0,0,,,QA,,,0,
NO_H_HSIC,45,old_native_text_extension,accuracy,11,11,11,1.0,1.0,QA,"[0.7411670330319684, 1]",1,11,"[1, 1]"
NO_H_HSIC,45,new_H_eval,accuracy,12,24,24,0.5,1.0,QA,"[0.3142742581957335, 0.6857257418042665]",0.5,8,"[0.42857142857142855, 0.5238095238095238]"
NO_H_HSIC,45,new_H_eval,Retention,7,18,18,0.3888888888888889,1.0,QA,"[0.2030524657216362, 0.613809583977621]",0.375,8,"[0.2857142857142857, 0.42857142857142855]"
NO_H_HSIC,45,new_H_eval,Fix,5,6,6,0.8333333333333334,1.0,QA,"[0.43649717781352987, 0.9699466302516935]",0.8,5,"[0.75, 1]"
NO_H_HSIC,45,new_U_eval,accuracy,10,14,14,0.7142857142857143,1.0,QA,"[0.4535091567010681, 0.8827862135542308]",0.6875,8,"[0.6428571428571429, 0.7857142857142857]"
NO_H_HSIC,45,new_U_eval,fixed_panel_Retention,10,13,13,0.7692307692307693,1.0,QA,"[0.49743624053272495, 0.9182047128150143]",0.75,8,"[0.7142857142857143, 0.8571428571428571]"
NO_H_HSIC,45,new_U_eval,Retention,7,8,8,0.875,1.0,QA,"[0.5291118177871464, 0.9775825085499433]",0.875,8,"[0.8571428571428571, 1]"
NO_H_HSIC,45,new_U_eval,Fix,0,0,0,,,QA,,,0,
NO_H_HSIC,45,positive_positive_image,accuracy,1,4,4,0.25,1.0,QA,"[0.04558726080970055, 0.6993581574175981]",0.16666666666666666,2,"[0, 0.3333333333333333]"
NO_H_HSIC,45,old_anchors,PairCorrect,5.5,11,11,0.5,1.0,edit_macro_not_independent_H,,0.5,11,"[0.45, 0.55]"
NO_H_HSIC,45,activation_diagnostic,accuracy,89,113,113,0.7876106194690266,1.0,QA,"[0.7033939238268223, 0.8529154603255062]",0.8737528344671202,42,"[0.8706736353077816, 0.8889663182346109]"
