edit,role,panel,inputs,source_images,base_correct_inputs
215,calibration,positive,2,1,2
215,evaluation,H,0,0,0
215,evaluation,U,7,7,1
215,evaluation,positive,4,1,1
215,fit,H,0,0,0
215,fit,U,9,9,5
215,fit,positive,2,1,0
215,native,positive,1,1,0
216,calibration,H,0,0,0
216,calibration,U,7,7,5
216,calibration,positive,2,1,1
216,evaluation,H,0,0,0
216,evaluation,U,7,7,1
216,evaluation,positive,4,1,2
216,fit,H,0,0,0
216,fit,U,9,9,5
216,fit,positive,2,1,1
216,native,positive,1,1,0
217,calibration,H,0,0,0
217,calibration,U,7,7,5
217,calibration,positive,2,1,0
217,evaluation,H,0,0,0
217,evaluation,U,7,7,1
217,evaluation,positive,4,1,2
217,fit,H,0,0,0
217,fit,U,8,8,5
217,fit,positive,2,1,1
217,native,positive,1,1,0
218,calibration,H,0,0,0
218,calibration,U,7,7,5
218,calibration,positive,2,1,0
218,evaluation,H,0,0,0
218,evaluation,U,7,7,1
218,evaluation,positive,4,1,0
218,fit,H,0,0,0
218,fit,U,9,9,5
218,fit,positive,2,1,0
218,native,positive,1,1,0
219,calibration,H,0,0,0
219,calibration,U,7,7,5
219,calibration,positive,2,1,0
219,evaluation,H,0,0,0
219,evaluation,U,7,7,1
219,evaluation,positive,4,1,2
219,fit,H,0,0,0
219,fit,U,9,9,5
219,fit,positive,2,1,2
219,native,positive,1,1,0
220,calibration,H,0,0,0
220,calibration,U,7,7,5
220,calibration,positive,2,1,0
220,evaluation,H,0,0,0
220,evaluation,U,7,7,1
220,evaluation,positive,4,1,0
220,fit,H,0,0,0
220,fit,U,9,9,5
220,fit,positive,2,1,0
220,native,positive,1,1,0
221,calibration,H,0,0,0
221,calibration,U,7,7,5
221,calibration,positive,2,1,0
221,evaluation,H,0,0,0
221,evaluation,U,7,7,1
221,evaluation,positive,4,1,0
221,fit,H,0,0,0
221,fit,U,9,9,5
221,fit,positive,2,1,1
221,native,positive,1,1,0
222,calibration,H,0,0,0
222,calibration,U,7,7,5
222,calibration,positive,2,1,0
222,evaluation,H,0,0,0
222,evaluation,U,7,7,1
222,evaluation,positive,4,1,1
222,fit,H,0,0,0
222,fit,U,9,9,5
222,fit,positive,2,1,0
222,native,positive,1,1,0
223,calibration,H,0,0,0
223,calibration,U,7,7,5
223,calibration,positive,2,1,0
223,evaluation,H,0,0,0
223,evaluation,U,7,7,1
223,evaluation,positive,4,1,0
223,fit,H,0,0,0
223,fit,U,9,9,5
223,fit,positive,2,1,0
223,native,positive,1,1,0
224,calibration,H,0,0,0
224,calibration,U,7,7,5
224,calibration,positive,2,1,1
224,evaluation,H,0,0,0
224,evaluation,U,7,7,1
224,evaluation,positive,4,1,2
224,fit,H,0,0,0
224,fit,U,9,9,5
224,fit,positive,2,1,1
224,native,positive,1,1,0
225,calibration,H,0,0,0
225,calibration,U,7,7,5
225,calibration,positive,2,1,1
225,evaluation,H,0,0,0
225,evaluation,U,7,7,1
225,evaluation,positive,4,1,2
225,fit,H,0,0,0
225,fit,U,8,8,4
225,fit,positive,2,1,0
225,native,positive,1,1,0
226,calibration,H,0,0,0
226,calibration,U,7,7,5
226,calibration,positive,2,1,1
226,evaluation,H,0,0,0
226,evaluation,U,7,7,1
226,evaluation,positive,4,1,2
226,fit,H,0,0,0
226,fit,U,9,9,5
226,fit,positive,2,1,1
226,native,positive,1,1,0
227,calibration,H,0,0,0
227,calibration,U,7,7,5
227,calibration,positive,2,1,0
227,evaluation,H,0,0,0
227,evaluation,U,7,7,1
227,evaluation,positive,4,1,2
227,fit,H,0,0,0
227,fit,U,9,9,5
227,fit,positive,2,1,0
227,native,positive,1,1,0
228,calibration,H,0,0,0
228,calibration,U,7,7,5
228,calibration,positive,2,1,0
228,evaluation,H,0,0,0
228,evaluation,U,7,7,1
228,evaluation,positive,4,1,0
228,fit,H,0,0,0
228,fit,U,9,9,5
228,fit,positive,2,1,0
228,native,positive,1,1,0
229,calibration,H,0,0,0
229,calibration,U,7,7,5
229,calibration,positive,2,1,0
229,evaluation,H,0,0,0
229,evaluation,U,6,6,1
229,evaluation,positive,4,1,1
229,fit,H,0,0,0
229,fit,U,9,9,5
229,fit,positive,2,1,1
229,native,positive,1,1,0
230,calibration,H,0,0,0
230,calibration,U,7,7,5
230,calibration,positive,2,1,0
230,evaluation,H,0,0,0
230,evaluation,U,7,7,1
230,evaluation,positive,4,1,0
230,fit,H,0,0,0
230,fit,U,9,9,5
230,fit,positive,2,1,0
230,native,positive,1,1,0
231,calibration,H,0,0,0
231,calibration,U,7,7,5
231,calibration,positive,2,1,0
231,evaluation,H,0,0,0
231,evaluation,U,7,7,1
231,evaluation,positive,4,1,0
231,fit,H,0,0,0
231,fit,U,9,9,5
231,fit,positive,2,1,0
231,native,positive,1,1,0
232,calibration,H,0,0,0
232,calibration,U,7,7,5
232,calibration,positive,2,1,0
232,evaluation,H,0,0,0
232,evaluation,U,7,7,1
232,evaluation,positive,4,1,2
232,fit,H,0,0,0
232,fit,U,9,9,5
232,fit,positive,2,1,0
232,native,positive,1,1,0
