edit,method,status,completed,planned_native,planned_evaluation_positive,available_native,source_images,patients
217,BE,RAW_READY,True,1,4,1,1,UNKNOWN
217,W0,RAW_READY,True,1,4,1,1,UNKNOWN
217,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
218,BE,RAW_READY,True,1,4,1,1,UNKNOWN
218,W0,RAW_READY,True,1,4,1,1,UNKNOWN
218,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
219,BE,RAW_READY,True,1,4,1,1,UNKNOWN
219,W0,RAW_READY,True,1,4,1,1,UNKNOWN
219,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
220,BE,RAW_READY,True,1,4,1,1,UNKNOWN
220,W0,RAW_READY,True,1,4,1,1,UNKNOWN
220,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
221,BE,RAW_READY,True,1,4,1,1,UNKNOWN
221,W0,RAW_READY,True,1,4,1,1,UNKNOWN
221,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
222,BE,RAW_READY,True,1,4,1,1,UNKNOWN
222,W0,RAW_READY,True,1,4,1,1,UNKNOWN
222,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
223,BE,RAW_READY,True,1,4,1,1,UNKNOWN
223,W0,RAW_READY,True,1,4,1,1,UNKNOWN
223,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
224,BE,RAW_READY,True,1,4,1,1,UNKNOWN
224,W0,RAW_READY,True,1,4,1,1,UNKNOWN
224,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
225,BE,RAW_READY,True,1,4,1,1,UNKNOWN
225,W0,RAW_READY,True,1,4,1,1,UNKNOWN
225,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
226,BE,RAW_READY,True,1,4,1,1,UNKNOWN
226,W0,RAW_READY,True,1,4,1,1,UNKNOWN
226,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
227,BE,RAW_READY,True,1,4,1,1,UNKNOWN
227,W0,RAW_READY,True,1,4,1,1,UNKNOWN
227,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
228,BE,RAW_READY,True,1,4,1,1,UNKNOWN
228,W0,RAW_READY,True,1,4,1,1,UNKNOWN
228,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
229,BE,RAW_READY,True,1,4,1,1,UNKNOWN
229,W0,RAW_READY,True,1,4,1,1,UNKNOWN
229,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
230,BE,RAW_READY,True,1,4,1,1,UNKNOWN
230,W0,RAW_READY,True,1,4,1,1,UNKNOWN
230,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
231,BE,RAW_READY,True,1,4,1,1,UNKNOWN
231,W0,RAW_READY,True,1,4,1,1,UNKNOWN
231,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
232,BE,RAW_READY,True,1,4,1,1,UNKNOWN
232,W0,RAW_READY,True,1,4,1,1,UNKNOWN
232,W1,UNSUPPORTED_MISSING_FIT_H_OR_U,False,1,4,0,1,UNKNOWN
