method,mode,precision,prefix,task,route,primary_metric,numerator,probes,edits,micro,macro
C_NO_H,single,float16,1,T1L,R0,Retention,2,2,1,1.0,1
C_NO_H,single,float16,1,T1L,RC,Retention,2,2,1,1.0,1
C_NO_H,single,float16,1,T2G,FORCED_ON,Fix,512,557,146,0.9192100538599641,0.9195205479452054
C_NO_H,single,float16,1,T2G,R0,Fix,512,557,146,0.9192100538599641,0.9195205479452054
C_NO_H,single,float16,1,T2G,RC,Fix,512,557,146,0.9192100538599641,0.9195205479452054
C_NO_H,single,float16,1,T2L,FORCED_ON,Retention,25,54,31,0.46296296296296297,0.4838709677419355
C_NO_H,single,float16,1,T2L,R0,Retention,25,54,31,0.46296296296296297,0.4838709677419355
C_NO_H,single,float16,1,T2L,RC,Retention,25,54,31,0.46296296296296297,0.4838709677419355
C_NO_H,single,float16,1,T4G,FORCED_ON,Fix,0,0,0,,
C_NO_H,single,float16,1,T4G,R0,Fix,0,0,0,,
C_NO_H,single,float16,1,T4G,RC,Fix,0,0,0,,
balancedit,sequential,float16,1,T0,R0,Fix,1,1,1,1.0,1
balancedit,sequential,float16,1,T0,RC,Fix,1,1,1,1.0,1
balancedit,sequential,float16,1,T1G,R0,Fix,4,4,1,1.0,1
balancedit,sequential,float16,1,T1G,RC,Fix,4,4,1,1.0,1
balancedit,sequential,float16,1,T1L,R0,Retention,0,0,0,,
balancedit,sequential,float16,1,T1L,RC,Retention,0,0,0,,
balancedit,sequential,float16,1,T2G,R0,Fix,4,4,1,1.0,1
balancedit,sequential,float16,1,T2G,RC,Fix,4,4,1,1.0,1
balancedit,sequential,float16,1,T2L,R0,Retention,0,0,0,,
balancedit,sequential,float16,1,T2L,RC,Retention,0,0,0,,
balancedit,sequential,float16,50,T0,R0,Fix,50,50,50,1.0,1
balancedit,sequential,float16,50,T0,RC,Fix,50,50,50,1.0,1
balancedit,sequential,float16,50,T1G,R0,Fix,177,196,50,0.9030612244897959,0.905
balancedit,sequential,float16,50,T1G,RC,Fix,177,196,50,0.9030612244897959,0.905
balancedit,sequential,float16,50,T1L,R0,Retention,2,2,1,1.0,1
balancedit,sequential,float16,50,T1L,RC,Retention,2,2,1,1.0,1
balancedit,sequential,float16,50,T2G,R0,Fix,190,195,50,0.9743589743589743,0.975
balancedit,sequential,float16,50,T2G,RC,Fix,190,195,50,0.9743589743589743,0.975
balancedit,sequential,float16,50,T2L,R0,Retention,9,17,9,0.5294117647058824,0.6296296296296297
balancedit,sequential,float16,50,T2L,RC,Retention,9,17,9,0.5294117647058824,0.6296296296296297
balancedit,sequential,float16,50,T4G,R0,Fix,0,0,0,,
balancedit,sequential,float16,50,T4G,RC,Fix,0,0,0,,
balancedit,sequential,float16,100,T0,R0,Fix,100,100,100,1.0,1
balancedit,sequential,float16,100,T0,RC,Fix,100,100,100,1.0,1
balancedit,sequential,float16,100,T1G,R0,Fix,355,394,100,0.9010152284263959,0.9
balancedit,sequential,float16,100,T1G,RC,Fix,355,394,100,0.9010152284263959,0.9
balancedit,sequential,float16,100,T1L,R0,Retention,2,2,1,1.0,1
balancedit,sequential,float16,100,T1L,RC,Retention,2,2,1,1.0,1
balancedit,sequential,float16,100,T2G,R0,Fix,371,386,100,0.961139896373057,0.9625
balancedit,sequential,float16,100,T2G,RC,Fix,371,386,100,0.961139896373057,0.9625
balancedit,sequential,float16,100,T2L,R0,Retention,20,34,19,0.5882352941176471,0.6140350877192983
balancedit,sequential,float16,100,T2L,RC,Retention,20,34,19,0.5882352941176471,0.6140350877192983
balancedit,sequential,float16,100,T4G,R0,Fix,0,0,0,,
balancedit,sequential,float16,100,T4G,RC,Fix,0,0,0,,
balancedit,sequential,float16,146,T0,R0,Fix,146,146,146,1.0,1
balancedit,sequential,float16,146,T0,RC,Fix,146,146,146,1.0,1
balancedit,sequential,float16,146,T1G,R0,Fix,500,578,146,0.8650519031141869,0.8647260273972602
balancedit,sequential,float16,146,T1G,RC,Fix,500,578,146,0.8650519031141869,0.8647260273972602
balancedit,sequential,float16,146,T1L,R0,Retention,2,2,1,1.0,1
balancedit,sequential,float16,146,T1L,RC,Retention,2,2,1,1.0,1
balancedit,sequential,float16,146,T2G,R0,Fix,527,557,146,0.9461400359066428,0.9486301369863014
balancedit,sequential,float16,146,T2G,RC,Fix,527,557,146,0.9461400359066428,0.9486301369863014
balancedit,sequential,float16,146,T2L,R0,Retention,31,54,31,0.5740740740740741,0.6344086021505376
balancedit,sequential,float16,146,T2L,RC,Retention,31,54,31,0.5740740740740741,0.6344086021505376
balancedit,sequential,float16,146,T4G,R0,Fix,0,0,0,,
balancedit,sequential,float16,146,T4G,RC,Fix,0,0,0,,
balancedit,single,float16,1,T0,FORCED_ON,Fix,146,146,146,1.0,1
balancedit,single,float16,1,T0,R0,Fix,146,146,146,1.0,1
balancedit,single,float16,1,T0,RC,Fix,146,146,146,1.0,1
balancedit,single,float16,1,T1G,FORCED_ON,Fix,578,578,146,1.0,1
balancedit,single,float16,1,T1G,R0,Fix,578,578,146,1.0,1
balancedit,single,float16,1,T1G,RC,Fix,578,578,146,1.0,1
balancedit,single,float16,1,T1L,FORCED_ON,Retention,2,2,1,1.0,1
balancedit,single,float16,1,T1L,R0,Retention,2,2,1,1.0,1
balancedit,single,float16,1,T1L,RC,Retention,2,2,1,1.0,1
balancedit,single,float16,1,T2G,FORCED_ON,Fix,533,557,146,0.9569120287253142,0.958904109589041
balancedit,single,float16,1,T2G,R0,Fix,533,557,146,0.9569120287253142,0.958904109589041
balancedit,single,float16,1,T2G,RC,Fix,533,557,146,0.9569120287253142,0.958904109589041
balancedit,single,float16,1,T2L,FORCED_ON,Retention,29,54,31,0.5370370370370371,0.5698924731182796
balancedit,single,float16,1,T2L,R0,Retention,29,54,31,0.5370370370370371,0.5698924731182796
balancedit,single,float16,1,T2L,RC,Retention,29,54,31,0.5370370370370371,0.5698924731182796
balancedit,single,float16,1,T4G,FORCED_ON,Fix,0,0,0,,
balancedit,single,float16,1,T4G,R0,Fix,0,0,0,,
balancedit,single,float16,1,T4G,RC,Fix,0,0,0,,
belora,sequential,float16,1,T0,NATIVE,Fix,1,1,1,1.0,1
belora,sequential,float16,1,T1G,NATIVE,Fix,4,4,1,1.0,1
belora,sequential,float16,1,T1L,NATIVE,Retention,0,0,0,,
belora,sequential,float16,1,T2G,NATIVE,Fix,4,4,1,1.0,1
belora,sequential,float16,1,T2L,NATIVE,Retention,0,0,0,,
belora,sequential,float16,50,T0,NATIVE,Fix,41,50,50,0.82,0.82
belora,sequential,float16,50,T1G,NATIVE,Fix,143,196,50,0.7295918367346939,0.735
belora,sequential,float16,50,T1L,NATIVE,Retention,2,2,1,1.0,1
belora,sequential,float16,50,T2G,NATIVE,Fix,130,195,50,0.6666666666666666,0.6716666666666666
belora,sequential,float16,50,T2L,NATIVE,Retention,11,17,9,0.6470588235294118,0.6481481481481481
belora,sequential,float16,50,T4G,NATIVE,Fix,0,0,0,,
belora,sequential,float16,100,T0,NATIVE,Fix,83,100,100,0.83,0.83
belora,sequential,float16,100,T1G,NATIVE,Fix,291,394,100,0.7385786802030457,0.74
belora,sequential,float16,100,T1L,NATIVE,Retention,2,2,1,1.0,1
belora,sequential,float16,100,T2G,NATIVE,Fix,261,386,100,0.6761658031088082,0.6841666666666667
belora,sequential,float16,100,T2L,NATIVE,Retention,23,34,19,0.6764705882352942,0.7192982456140351
belora,sequential,float16,100,T4G,NATIVE,Fix,0,0,0,,
belora,sequential,float16,146,T0,NATIVE,Fix,117,146,146,0.8013698630136986,0.8013698630136986
belora,sequential,float16,146,T1G,NATIVE,Fix,399,578,146,0.6903114186851211,0.6917808219178082
belora,sequential,float16,146,T1L,NATIVE,Retention,2,2,1,1.0,1
belora,sequential,float16,146,T2G,NATIVE,Fix,368,557,146,0.6606822262118492,0.6655251141552512
belora,sequential,float16,146,T2L,NATIVE,Retention,38,54,31,0.7037037037037037,0.7150537634408602
belora,sequential,float16,146,T4G,NATIVE,Fix,0,0,0,,
belora,single,float16,1,T0,NATIVE,Fix,117,146,146,0.8013698630136986,0.8013698630136986
belora,single,float16,1,T1G,NATIVE,Fix,457,578,146,0.7906574394463668,0.791095890410959
belora,single,float16,1,T1L,NATIVE,Retention,2,2,1,1.0,1
belora,single,float16,1,T2G,NATIVE,Fix,372,557,146,0.6678635547576302,0.672945205479452
belora,single,float16,1,T2L,NATIVE,Retention,38,54,31,0.7037037037037037,0.7150537634408602
belora,single,float16,1,T4G,NATIVE,Fix,0,0,0,,
grace,sequential,float16,1,T0,NATIVE,Fix,0,1,1,0.0,0
grace,sequential,float16,1,T1G,NATIVE,Fix,0,4,1,0.0,0
grace,sequential,float16,1,T1L,NATIVE,Retention,0,0,0,,
grace,sequential,float16,1,T2G,NATIVE,Fix,0,4,1,0.0,0
grace,sequential,float16,1,T2L,NATIVE,Retention,0,0,0,,
grace,sequential,float16,50,T0,NATIVE,Fix,1,50,50,0.02,0.02
grace,sequential,float16,50,T1G,NATIVE,Fix,4,196,50,0.02040816326530612,0.02
grace,sequential,float16,50,T1L,NATIVE,Retention,0,2,1,0.0,0
grace,sequential,float16,50,T2G,NATIVE,Fix,2,195,50,0.010256410256410256,0.01
grace,sequential,float16,50,T2L,NATIVE,Retention,16,17,9,0.9411764705882353,0.9444444444444444
grace,sequential,float16,50,T4G,NATIVE,Fix,0,0,0,,
grace,sequential,float16,100,T0,NATIVE,Fix,1,100,100,0.01,0.01
grace,sequential,float16,100,T1G,NATIVE,Fix,4,394,100,0.01015228426395939,0.01
grace,sequential,float16,100,T1L,NATIVE,Retention,0,2,1,0.0,0
grace,sequential,float16,100,T2G,NATIVE,Fix,2,386,100,0.0051813471502590676,0.005
grace,sequential,float16,100,T2L,NATIVE,Retention,33,34,19,0.9705882352941176,0.9736842105263158
grace,sequential,float16,100,T4G,NATIVE,Fix,0,0,0,,
grace,sequential,float16,146,T0,NATIVE,Fix,1,146,146,0.00684931506849315,0.00684931506849315
grace,sequential,float16,146,T1G,NATIVE,Fix,4,578,146,0.006920415224913495,0.00684931506849315
grace,sequential,float16,146,T1L,NATIVE,Retention,0,2,1,0.0,0
grace,sequential,float16,146,T2G,NATIVE,Fix,2,557,146,0.003590664272890485,0.003424657534246575
grace,sequential,float16,146,T2L,NATIVE,Retention,53,54,31,0.9814814814814815,0.9838709677419355
grace,sequential,float16,146,T4G,NATIVE,Fix,0,0,0,,
grace,single,float16,1,T0,NATIVE,Fix,1,146,146,0.00684931506849315,0.00684931506849315
grace,single,float16,1,T1G,NATIVE,Fix,4,578,146,0.006920415224913495,0.00684931506849315
grace,single,float16,1,T1L,NATIVE,Retention,0,2,1,0.0,0
grace,single,float16,1,T2G,NATIVE,Fix,4,557,146,0.00718132854578097,0.007420091324200913
grace,single,float16,1,T2L,NATIVE,Retention,0,54,31,0.0,0
grace,single,float16,1,T4G,NATIVE,Fix,0,0,0,,
lora,sequential,bfloat16,1,T0,NATIVE,Fix,1,1,1,1.0,1
lora,sequential,bfloat16,1,T1G,NATIVE,Fix,4,4,1,1.0,1
lora,sequential,bfloat16,1,T1L,NATIVE,Retention,0,0,0,,
lora,sequential,bfloat16,1,T2G,NATIVE,Fix,4,4,1,1.0,1
lora,sequential,bfloat16,1,T2L,NATIVE,Retention,0,0,0,,
lora,sequential,bfloat16,50,T0,NATIVE,Fix,2,50,50,0.04,0.04
lora,sequential,bfloat16,50,T1G,NATIVE,Fix,8,196,50,0.04081632653061224,0.04
lora,sequential,bfloat16,50,T1L,NATIVE,Retention,0,2,1,0.0,0
lora,sequential,bfloat16,50,T2G,NATIVE,Fix,8,195,50,0.041025641025641026,0.04
lora,sequential,bfloat16,50,T2L,NATIVE,Retention,0,17,9,0.0,0
lora,sequential,bfloat16,50,T4G,NATIVE,Fix,0,0,0,,
lora,sequential,bfloat16,100,T0,NATIVE,Fix,1,100,100,0.01,0.01
lora,sequential,bfloat16,100,T1G,NATIVE,Fix,4,394,100,0.01015228426395939,0.01
lora,sequential,bfloat16,100,T1L,NATIVE,Retention,0,2,1,0.0,0
lora,sequential,bfloat16,100,T2G,NATIVE,Fix,4,386,100,0.010362694300518135,0.01
lora,sequential,bfloat16,100,T2L,NATIVE,Retention,13,34,19,0.38235294117647056,0.34210526315789475
lora,sequential,bfloat16,100,T4G,NATIVE,Fix,0,0,0,,
lora,sequential,bfloat16,146,T0,NATIVE,Fix,0,146,146,0.0,0
lora,sequential,bfloat16,146,T1G,NATIVE,Fix,2,578,146,0.0034602076124567475,0.003424657534246575
lora,sequential,bfloat16,146,T1L,NATIVE,Retention,0,2,1,0.0,0
lora,sequential,bfloat16,146,T2G,NATIVE,Fix,2,557,146,0.003590664272890485,0.003424657534246575
lora,sequential,bfloat16,146,T2L,NATIVE,Retention,0,54,31,0.0,0
lora,sequential,bfloat16,146,T4G,NATIVE,Fix,0,0,0,,
lora,single,float16,1,T0,NATIVE,Fix,146,146,146,1.0,1
lora,single,float16,1,T1G,NATIVE,Fix,578,578,146,1.0,1
lora,single,float16,1,T1L,NATIVE,Retention,2,2,1,1.0,1
lora,single,float16,1,T2G,NATIVE,Fix,555,557,146,0.9964093357271095,0.9965753424657534
lora,single,float16,1,T2L,NATIVE,Retention,25,54,31,0.46296296296296297,0.4731182795698925
lora,single,float16,1,T4G,NATIVE,Fix,0,0,0,,
