cohort,condition,mode,role,panel,inputs,lost_correction,gained_correction,avoided_damage,introduced_damage
APR_SLAKE_STAGE2_BANK16,B1,FORCED_ON,fit,H,28,0,1,19,0
APR_SLAKE_STAGE2_BANK16,B1,RC_FIXED_OLD16,fit,H,28,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B2,FORCED_ON,evaluation,H,20,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B2,RC_FIXED_OLD16,evaluation,H,20,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,FORCED_ON,evaluation,H,20,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,RC_FIXED_OLD16,evaluation,H,20,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B1,FORCED_ON,evaluation,H,20,0,1,8,0
APR_SLAKE_STAGE2_BANK16,B1,RC_FIXED_OLD16,evaluation,H,20,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B2,FORCED_ON,fit,U,217,2,0,20,0
APR_SLAKE_STAGE2_BANK16,B2,RC_FIXED_OLD16,fit,U,217,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,FORCED_ON,fit,U,217,5,2,32,0
APR_SLAKE_STAGE2_BANK16,B3,RC_FIXED_OLD16,fit,U,217,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B1,FORCED_ON,fit,U,217,7,3,44,2
APR_SLAKE_STAGE2_BANK16,B1,RC_FIXED_OLD16,fit,U,217,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B2,FORCED_ON,evaluation,U,202,0,1,18,0
APR_SLAKE_STAGE2_BANK16,B2,RC_FIXED_OLD16,evaluation,U,202,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,FORCED_ON,evaluation,U,202,3,1,26,1
APR_SLAKE_STAGE2_BANK16,B3,RC_FIXED_OLD16,evaluation,U,202,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B1,FORCED_ON,evaluation,U,202,9,5,38,3
APR_SLAKE_STAGE2_BANK16,B1,RC_FIXED_OLD16,evaluation,U,202,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B2,FORCED_ON,challenge,same_answer_context_not_conflict,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B2,RC_FIXED_OLD16,challenge,same_answer_context_not_conflict,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,FORCED_ON,challenge,same_answer_context_not_conflict,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B3,RC_FIXED_OLD16,challenge,same_answer_context_not_conflict,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B1,FORCED_ON,challenge,same_answer_context_not_conflict,32,0,0,0,0
APR_SLAKE_STAGE2_BANK16,B1,RC_FIXED_OLD16,challenge,same_answer_context_not_conflict,32,0,0,0,0
