R_rank,anchor_columns,anchor_rank,cohort,edit,elapsed_seconds,expanded_parameters,expanded_tensor_bytes,fit_seconds,fp64_anchor_error,gram1_condition,gram2_condition,irreducible_combination_energy,negative_columns,original_parameters,repairs_container_bytes,ridge,support,condition,anchor_relative_error,fp32_anchor_relative_error,negative_energy_ratio,relative_repair_norm,anchor_singular_min,anchor_singular_max,R_singular_min,R_singular_max
24,35,35,OLD_STAGE3_COMMON7,143,61.62787675857544,57860,231440,6.166075944900513,5.5823178409896984e-14,533.241882551404,284.5386360135501,0.0,24,1476,698674,5.973264582595922,H_U_REPAIR,C2,5.5823178409896984e-14,1.2573340807935697e-08,0.03162368703276705,0.5753373536316532,13.175640918857646,428.4785779776501,1.3745584179936836,47.23623266999674
32,40,40,OLD_STAGE3_COMMON7,168,84.39511108398438,57860,231440,6.305471181869507,4.040156106379439e-14,779.8070045053092,560.9187047801387,0.0,32,1476,698674,4.479947154950471,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,5.166769148660023,556.7967625145178,0.5781369168110464,51.92195068987405
32,40,40,OLD_STAGE3_COMMON7,168,84.39511108398438,57860,231440,6.305471181869507,4.040156106379439e-14,779.8070045053092,560.9187047801387,0.0,32,1476,698674,4.479947154950471,H_U_REPAIR,C1,0.5815275534337931,0.581527552601955,6.710448509503521e-05,0.08848980384710634,5.166769148660023,556.7967625145178,0.5781369168110464,51.92195068987405
32,40,40,OLD_STAGE3_COMMON7,168,84.39511108398438,57860,231440,6.305471181869507,4.040156106379439e-14,779.8070045053092,560.9187047801387,0.0,32,1476,698674,4.479947154950471,H_U_REPAIR,C2,4.040156106379439e-14,6.1952425458697745e-09,0.06787072881415208,0.5389937913388181,5.166769148660023,556.7967625145178,0.5781369168110464,51.92195068987405
24,40,40,OLD_STAGE3_COMMON7,172,62.15624690055847,57860,231440,6.316428184509277,2.980381372821457e-14,565.1906541988774,391.00021977411,0.0,24,1476,698674,5.973262176444795,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,5.6091671698163825,541.054247633938,1.06191058748517,52.63541166243452
24,40,40,OLD_STAGE3_COMMON7,172,62.15624690055847,57860,231440,6.316428184509277,2.980381372821457e-14,565.1906541988774,391.00021977411,0.0,24,1476,698674,5.973262176444795,H_U_REPAIR,C1,0.590690856640466,0.5906908571742576,3.972583014028829e-05,0.08151853579327632,5.6091671698163825,541.054247633938,1.06191058748517,52.63541166243452
24,40,40,OLD_STAGE3_COMMON7,172,62.15624690055847,57860,231440,6.316428184509277,2.980381372821457e-14,565.1906541988774,391.00021977411,0.0,24,1476,698674,5.973262176444795,H_U_REPAIR,C2,2.980381372821457e-14,1.5387799263015847e-08,0.10683681923267865,0.623089093258515,5.6091671698163825,541.054247633938,1.06191058748517,52.63541166243452
28,75,75,OLD_STAGE3_COMMON7,270,81.06386852264404,57860,231440,7.518756151199341,7.968381501146273e-15,824.1235846717776,514.3656620274711,0.0,28,1476,698674,5.119946143831291,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,1.7886331931260864,582.4534467555989,0.9171741842506075,55.327147952705225
28,75,75,OLD_STAGE3_COMMON7,270,81.06386852264404,57860,231440,7.518756151199341,7.968381501146273e-15,824.1235846717776,514.3656620274711,0.0,28,1476,698674,5.119946143831291,H_U_REPAIR,C1,0.3920660761998459,0.39206607627812345,7.398797285255625e-05,0.07745328176646082,1.7886331931260864,582.4534467555989,0.9171741842506075,55.327147952705225
28,75,75,OLD_STAGE3_COMMON7,270,81.06386852264404,57860,231440,7.518756151199341,7.968381501146273e-15,824.1235846717776,514.3656620274711,0.0,28,1476,698674,5.119946143831291,H_U_REPAIR,C2,7.968381501146273e-15,7.697583089173983e-09,0.0023077925416831887,0.2700868266400577,1.7886331931260864,582.4534467555989,0.9171741842506075,55.327147952705225
