cohort,method,mode,edit,role,native_correct,pairs,pair_correct,both_correct,native_only,H_only,both_wrong
NEW7,C_NO_H,BE_ROUTE_R0,6,fit,1.0,1,1.0,1,0,0,0
NEW7,C_NO_H,BE_ROUTE_R0,6,evaluation,1.0,2,0.5,1,1,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,6,fit,1.0,1,1.0,1,0,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,6,evaluation,1.0,2,0.5,1,1,0,0
NEW7,C_NO_H,FORCED_ON,7,fit,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,FORCED_ON,7,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,BE_ROUTE_R0,7,fit,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,BE_ROUTE_R0,7,evaluation,1.0,1,0.0,0,1,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,7,fit,1.0,1,1.0,1,0,0,0
NEW7,C_NO_H,RC_FIXED_OLD16,7,evaluation,1.0,1,1.0,1,0,0,0
OLD15,BE,FORCED_ON,101,fit,1.0,3,0.0,0,3,0,0
OLD15,BE,FORCED_ON,101,evaluation,1.0,2,0.0,0,2,0,0
OLD15,BE,BE_ROUTE_R0,101,fit,1.0,3,0.0,0,3,0,0
OLD15,BE,BE_ROUTE_R0,101,evaluation,1.0,2,0.0,0,2,0,0
OLD15,BE,RC_FIXED_OLD16,101,fit,1.0,3,1.0,3,0,0,0
OLD15,BE,RC_FIXED_OLD16,101,evaluation,1.0,2,1.0,2,0,0,0
OLD15,BE,FORCED_ON,102,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,FORCED_ON,102,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,102,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,102,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,RC_FIXED_OLD16,102,fit,1.0,1,1.0,1,0,0,0
OLD15,BE,RC_FIXED_OLD16,102,evaluation,1.0,1,1.0,1,0,0,0
OLD15,BE,FORCED_ON,103,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,FORCED_ON,103,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,103,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,103,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,RC_FIXED_OLD16,103,fit,1.0,1,1.0,1,0,0,0
OLD15,BE,RC_FIXED_OLD16,103,evaluation,1.0,1,1.0,1,0,0,0
OLD15,BE,FORCED_ON,104,fit,1.0,3,0.0,0,3,0,0
OLD15,BE,FORCED_ON,104,evaluation,1.0,2,0.0,0,2,0,0
OLD15,BE,BE_ROUTE_R0,104,fit,1.0,3,0.3333333333333333,1,2,0,0
OLD15,BE,BE_ROUTE_R0,104,evaluation,1.0,2,0.0,0,2,0,0
OLD15,BE,RC_FIXED_OLD16,104,fit,1.0,3,1.0,3,0,0,0
OLD15,BE,RC_FIXED_OLD16,104,evaluation,1.0,2,0.5,1,1,0,0
OLD15,BE,FORCED_ON,105,fit,1.0,3,0.0,0,3,0,0
OLD15,BE,FORCED_ON,105,evaluation,1.0,2,0.0,0,2,0,0
OLD15,BE,BE_ROUTE_R0,105,fit,1.0,3,0.3333333333333333,1,2,0,0
OLD15,BE,BE_ROUTE_R0,105,evaluation,1.0,2,0.0,0,2,0,0
OLD15,BE,RC_FIXED_OLD16,105,fit,1.0,3,0.6666666666666666,2,1,0,0
OLD15,BE,RC_FIXED_OLD16,105,evaluation,1.0,2,1.0,2,0,0,0
OLD15,BE,FORCED_ON,106,fit,1.0,3,0.0,0,3,0,0
OLD15,BE,FORCED_ON,106,evaluation,1.0,2,0.0,0,2,0,0
OLD15,BE,BE_ROUTE_R0,106,fit,1.0,3,0.0,0,3,0,0
OLD15,BE,BE_ROUTE_R0,106,evaluation,1.0,2,0.5,1,1,0,0
OLD15,BE,RC_FIXED_OLD16,106,fit,1.0,3,1.0,3,0,0,0
OLD15,BE,RC_FIXED_OLD16,106,evaluation,1.0,2,0.5,1,1,0,0
OLD15,BE,FORCED_ON,107,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,FORCED_ON,107,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,107,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,107,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,RC_FIXED_OLD16,107,fit,1.0,1,1.0,1,0,0,0
OLD15,BE,RC_FIXED_OLD16,107,evaluation,1.0,1,1.0,1,0,0,0
OLD15,BE,FORCED_ON,108,fit,1.0,3,0.0,0,3,0,0
OLD15,BE,FORCED_ON,108,evaluation,1.0,2,0.0,0,2,0,0
OLD15,BE,BE_ROUTE_R0,108,fit,1.0,3,0.0,0,3,0,0
OLD15,BE,BE_ROUTE_R0,108,evaluation,1.0,2,0.0,0,2,0,0
OLD15,BE,RC_FIXED_OLD16,108,fit,1.0,3,1.0,3,0,0,0
OLD15,BE,RC_FIXED_OLD16,108,evaluation,1.0,2,0.5,1,1,0,0
OLD15,BE,FORCED_ON,109,fit,1.0,2,0.0,0,2,0,0
OLD15,BE,FORCED_ON,109,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,109,fit,1.0,2,0.0,0,2,0,0
OLD15,BE,BE_ROUTE_R0,109,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,RC_FIXED_OLD16,109,fit,1.0,2,1.0,2,0,0,0
OLD15,BE,RC_FIXED_OLD16,109,evaluation,1.0,1,1.0,1,0,0,0
OLD15,BE,FORCED_ON,110,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,FORCED_ON,110,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,110,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,110,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,RC_FIXED_OLD16,110,fit,1.0,1,1.0,1,0,0,0
OLD15,BE,RC_FIXED_OLD16,110,evaluation,1.0,1,1.0,1,0,0,0
OLD15,BE,FORCED_ON,111,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,FORCED_ON,111,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,111,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,111,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,RC_FIXED_OLD16,111,fit,1.0,1,1.0,1,0,0,0
OLD15,BE,RC_FIXED_OLD16,111,evaluation,1.0,1,1.0,1,0,0,0
OLD15,BE,FORCED_ON,112,fit,1.0,2,0.0,0,2,0,0
OLD15,BE,FORCED_ON,112,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,112,fit,1.0,2,0.0,0,2,0,0
OLD15,BE,BE_ROUTE_R0,112,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,RC_FIXED_OLD16,112,fit,1.0,2,1.0,2,0,0,0
OLD15,BE,RC_FIXED_OLD16,112,evaluation,1.0,1,1.0,1,0,0,0
OLD15,BE,FORCED_ON,113,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,FORCED_ON,113,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,113,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,113,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,RC_FIXED_OLD16,113,fit,1.0,1,1.0,1,0,0,0
OLD15,BE,RC_FIXED_OLD16,113,evaluation,1.0,1,1.0,1,0,0,0
OLD15,BE,FORCED_ON,114,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,FORCED_ON,114,evaluation,1.0,0,,0,0,0,0
OLD15,BE,BE_ROUTE_R0,114,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,114,evaluation,1.0,0,,0,0,0,0
OLD15,BE,RC_FIXED_OLD16,114,fit,1.0,1,1.0,1,0,0,0
OLD15,BE,RC_FIXED_OLD16,114,evaluation,1.0,0,,0,0,0,0
OLD15,BE,FORCED_ON,116,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,FORCED_ON,116,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,116,fit,1.0,1,0.0,0,1,0,0
OLD15,BE,BE_ROUTE_R0,116,evaluation,1.0,1,0.0,0,1,0,0
OLD15,BE,RC_FIXED_OLD16,116,fit,1.0,1,1.0,1,0,0,0
OLD15,BE,RC_FIXED_OLD16,116,evaluation,1.0,1,0.0,0,1,0,0
OLD15,C_FACT,FORCED_ON,101,fit,1.0,3,1.0,3,0,0,0
OLD15,C_FACT,FORCED_ON,101,evaluation,1.0,2,1.0,2,0,0,0
OLD15,C_FACT,BE_ROUTE_R0,101,fit,1.0,3,1.0,3,0,0,0
OLD15,C_FACT,BE_ROUTE_R0,101,evaluation,1.0,2,1.0,2,0,0,0
OLD15,C_FACT,RC_FIXED_OLD16,101,fit,1.0,3,1.0,3,0,0,0
OLD15,C_FACT,RC_FIXED_OLD16,101,evaluation,1.0,2,1.0,2,0,0,0
OLD15,C_FACT,FORCED_ON,102,fit,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,FORCED_ON,102,evaluation,1.0,1,0.0,0,1,0,0
OLD15,C_FACT,BE_ROUTE_R0,102,fit,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,BE_ROUTE_R0,102,evaluation,1.0,1,0.0,0,1,0,0
OLD15,C_FACT,RC_FIXED_OLD16,102,fit,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,RC_FIXED_OLD16,102,evaluation,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,FORCED_ON,103,fit,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,FORCED_ON,103,evaluation,1.0,1,0.0,0,1,0,0
OLD15,C_FACT,BE_ROUTE_R0,103,fit,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,BE_ROUTE_R0,103,evaluation,1.0,1,0.0,0,1,0,0
OLD15,C_FACT,RC_FIXED_OLD16,103,fit,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,RC_FIXED_OLD16,103,evaluation,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,FORCED_ON,104,fit,1.0,3,0.6666666666666666,2,1,0,0
OLD15,C_FACT,FORCED_ON,104,evaluation,1.0,2,0.5,1,1,0,0
OLD15,C_FACT,BE_ROUTE_R0,104,fit,1.0,3,1.0,3,0,0,0
OLD15,C_FACT,BE_ROUTE_R0,104,evaluation,1.0,2,0.5,1,1,0,0
OLD15,C_FACT,RC_FIXED_OLD16,104,fit,1.0,3,1.0,3,0,0,0
OLD15,C_FACT,RC_FIXED_OLD16,104,evaluation,1.0,2,0.5,1,1,0,0
OLD15,C_FACT,FORCED_ON,105,fit,1.0,3,0.6666666666666666,2,1,0,0
OLD15,C_FACT,FORCED_ON,105,evaluation,1.0,2,1.0,2,0,0,0
OLD15,C_FACT,BE_ROUTE_R0,105,fit,1.0,3,0.6666666666666666,2,1,0,0
OLD15,C_FACT,BE_ROUTE_R0,105,evaluation,1.0,2,1.0,2,0,0,0
OLD15,C_FACT,RC_FIXED_OLD16,105,fit,1.0,3,0.6666666666666666,2,1,0,0
OLD15,C_FACT,RC_FIXED_OLD16,105,evaluation,1.0,2,1.0,2,0,0,0
OLD15,C_FACT,FORCED_ON,106,fit,1.0,3,1.0,3,0,0,0
OLD15,C_FACT,FORCED_ON,106,evaluation,1.0,2,0.5,1,1,0,0
OLD15,C_FACT,BE_ROUTE_R0,106,fit,1.0,3,1.0,3,0,0,0
OLD15,C_FACT,BE_ROUTE_R0,106,evaluation,1.0,2,0.5,1,1,0,0
OLD15,C_FACT,RC_FIXED_OLD16,106,fit,1.0,3,1.0,3,0,0,0
OLD15,C_FACT,RC_FIXED_OLD16,106,evaluation,1.0,2,0.5,1,1,0,0
OLD15,C_FACT,FORCED_ON,107,fit,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,FORCED_ON,107,evaluation,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,BE_ROUTE_R0,107,fit,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,BE_ROUTE_R0,107,evaluation,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,RC_FIXED_OLD16,107,fit,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,RC_FIXED_OLD16,107,evaluation,1.0,1,1.0,1,0,0,0
OLD15,C_FACT,FORCED_ON,108,fit,1.0,3,1.0,3,0,0,0
OLD15,C_FACT,FORCED_ON,108,evaluation,1.0,2,0.5,1,1,0,0
OLD15,C_FACT,BE_ROUTE_R0,108,fit,1.0,3,1.0,3,0,0,0
OLD15,C_FACT,BE_ROUTE_R0,108,evaluation,1.0,2,0.5,1,1,0,0
